schema	flat_index	k	n	value	expected_primality_status
primeforge.mvp.expected-primes.v1	3	1	8	257	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	10	3	5	97	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	11	3	6	193	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	13	3	8	769	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	17	3	12	12289	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	22	5	7	641	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	28	5	13	40961	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	31	7	6	449	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	39	7	14	114689	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	41	9	6	577	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	42	9	7	1153	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	46	9	11	18433	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	49	9	14	147457	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	50	11	5	353	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	52	11	7	1409	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	63	13	8	3329	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	65	13	10	13313	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	74	15	9	7681	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	75	15	10	15361	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	77	15	12	61441	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	91	19	6	1217	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	95	19	10	19457	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	100	21	5	673	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	102	21	7	2689	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	104	21	9	10753	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	107	21	12	86017	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	114	23	9	11777	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	118	23	13	188417	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	121	25	6	1601	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	125	25	10	25601	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	132	27	7	3457	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	140	29	5	929	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	146	29	11	59393	PROVEN_PRIME
primeforge.mvp.expected-primes.v1	153	31	8	7937	PROVEN_PRIME

