schema_version	id	category	decimal	expected_outcome	provenance	seed	form	notes
1	domain-000	DOMAIN_BOUNDARY	0	REJECTED_NON_CANDIDATE	EXHAUSTIVE	NONE	GENERAL	Neither prime nor composite; must be rejected before an engine status is assigned
1	domain-001	DOMAIN_BOUNDARY	1	REJECTED_NON_CANDIDATE	EXHAUSTIVE	NONE	GENERAL	Neither prime nor composite; must be rejected before an engine status is assigned
1	small-002	SMALL_PRIME	2	PROVEN_PRIME	EXHAUSTIVE	NONE	GENERAL	Smallest prime
1	small-003	SMALL_PRIME	3	PROVEN_PRIME	EXHAUSTIVE	NONE	GENERAL	Small odd prime
1	small-005	SMALL_PRIME	5	PROVEN_PRIME	EXHAUSTIVE	NONE	GENERAL	Small odd prime
1	small-007	SMALL_PRIME	7	PROVEN_PRIME	EXHAUSTIVE	NONE	GENERAL	Small odd prime
1	even-004	EVEN_COMPOSITE	4	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	Small even composite
1	even-006	EVEN_COMPOSITE	6	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	Small even composite
1	even-100	EVEN_COMPOSITE	100	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	Larger even composite
1	power-008	PERFECT_POWER	8	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	2^3
1	power-009	PERFECT_POWER	9	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	3^2
1	power-027	PERFECT_POWER	27	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	3^3
1	power-064	PERFECT_POWER	64	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	2^6
1	power-081	PERFECT_POWER	81	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	3^4
1	power-625	PERFECT_POWER	625	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	5^4
1	square-049	PRIME_SQUARE	49	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	7^2
1	square-121	PRIME_SQUARE	121	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	11^2
1	square-1009	PRIME_SQUARE	1018081	COMPOSITE	PARI_FLINT	NONE	GENERAL	1009^2
1	semi-015	SEMIPRIME	15	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	3*5
1	semi-077	SEMIPRIME	77	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	7*11
1	semi-143	SEMIPRIME	143	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	11*13
1	semi-1022117	SEMIPRIME	1022117	COMPOSITE	PARI_FLINT	NONE	GENERAL	1009*1013
1	carmichael-561	CARMICHAEL	561	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	3*11*17
1	carmichael-1105	CARMICHAEL	1105	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	5*13*17
1	carmichael-1729	CARMICHAEL	1729	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	7*13*19
1	carmichael-2465	CARMICHAEL	2465	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	5*17*29
1	carmichael-2821	CARMICHAEL	2821	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	7*13*31
1	carmichael-6601	CARMICHAEL	6601	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	7*23*41
1	fermat-341	FERMAT_BASE2_PSEUDOPRIME	341	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	11*31
1	fermat-645	FERMAT_BASE2_PSEUDOPRIME	645	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	3*5*43
1	sprp2-2047	STRONG_BASE2_PSEUDOPRIME	2047	COMPOSITE	EXHAUSTIVE	NONE	MERSENNE	23*89
1	sprp2-3277	STRONG_BASE2_PSEUDOPRIME	3277	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	29*113
1	sprp2-4033	STRONG_BASE2_PSEUDOPRIME	4033	COMPOSITE	EXHAUSTIVE	NONE	GENERAL	37*109
1	sprp4-3215031751	MULTIBASE_STRONG_PSEUDOPRIME	3215031751	COMPOSITE	PARI_FLINT	NONE	GENERAL	Strong pseudoprime to bases 2 3 5 7
1	sprp-341550071728321	MULTIBASE_STRONG_PSEUDOPRIME	341550071728321	COMPOSITE	PARI_FLINT	NONE	GENERAL	Adversarial deterministic Miller-Rabin vector
1	sprp-3825123056546413051	MULTIBASE_STRONG_PSEUDOPRIME	3825123056546413051	COMPOSITE	PARI_FLINT	NONE	GENERAL	Adversarial deterministic Miller-Rabin vector
1	boundary32-prime	WORD_BOUNDARY	4294967291	PROVEN_PRIME	PARI_FLINT	NONE	GENERAL	Largest prime below 2^32
1	boundary32-composite	WORD_BOUNDARY	4294967295	COMPOSITE	PARI_FLINT	NONE	GENERAL	2^32-1
1	boundary32-above	WORD_BOUNDARY	4294967311	PROVEN_PRIME	PARI_FLINT	NONE	GENERAL	Prime just above 2^32
1	boundary64-prime	WORD_BOUNDARY	18446744073709551557	PROVEN_PRIME	PARI_FLINT	NONE	GENERAL	Prime below 2^64
1	boundary64-composite	WORD_BOUNDARY	18446744073709551615	COMPOSITE	PARI_FLINT	NONE	GENERAL	2^64-1
1	proth-q-equals-n	PROTH_Q_EQUALS_NUMBER	7	PROVEN_PRIME	EXHAUSTIVE	NONE	3*2^1+1	Sieve factor q equals the candidate itself
1	proth-13	PROTH	13	PROVEN_PRIME	EXHAUSTIVE	NONE	3*2^2+1	Small Proth prime
1	proth-49	PROTH	49	COMPOSITE	EXHAUSTIVE	NONE	3*2^4+1	Small Proth composite
1	proth-97	PROTH	97	PROVEN_PRIME	EXHAUSTIVE	NONE	3*2^5+1	Small Proth prime
1	proth-gpu-prime	PROTH	184683593729	PROVEN_PRIME	PARI_FLINT_PROTH20	NONE	43*2^32+1	Independent OpenCL Proth theorem result
1	proth-gpu-composite	PROTH	12884901889	COMPOSITE	PARI_FLINT_PROTH20	NONE	3*2^32+1	Factors 19^2*35692249
1	riesel-23	RIESEL_FORM	23	PROVEN_PRIME	EXHAUSTIVE	NONE	3*2^3-1	Small Riesel-form prime
1	riesel-47	RIESEL_FORM	47	PROVEN_PRIME	EXHAUSTIVE	NONE	3*2^4-1	Small Riesel-form prime
1	riesel-95	RIESEL_FORM	95	COMPOSITE	EXHAUSTIVE	NONE	3*2^5-1	Small Riesel-form composite
1	riesel-32	RIESEL_FORM	12884901887	COMPOSITE	PARI_FLINT	NONE	3*2^32-1	Larger Riesel-form case
1	mersenne-3	MERSENNE	7	PROVEN_PRIME	EXHAUSTIVE	NONE	2^3-1	Small Mersenne prime
1	mersenne-5	MERSENNE	31	PROVEN_PRIME	EXHAUSTIVE	NONE	2^5-1	Small Mersenne prime
1	mersenne-7	MERSENNE	127	PROVEN_PRIME	EXHAUSTIVE	NONE	2^7-1	Small Mersenne prime
1	mersenne-11	MERSENNE	2047	COMPOSITE	EXHAUSTIVE	NONE	2^11-1	Small Mersenne composite
