schema_version	case_id	expected_outcome	pari_gp_2_17_4	flint_3_6_0	agreement
1	domain-000	REJECTED_NON_CANDIDATE	NOT_PRIME	NOT_PRIME	AGREE
1	domain-001	REJECTED_NON_CANDIDATE	NOT_PRIME	NOT_PRIME	AGREE
1	small-002	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	small-003	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	small-005	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	small-007	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	even-004	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	even-006	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	even-100	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	power-008	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	power-009	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	power-027	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	power-064	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	power-081	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	power-625	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	square-049	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	square-121	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	square-1009	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	semi-015	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	semi-077	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	semi-143	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	semi-1022117	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	carmichael-561	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	carmichael-1105	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	carmichael-1729	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	carmichael-2465	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	carmichael-2821	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	carmichael-6601	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	fermat-341	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	fermat-645	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	sprp2-2047	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	sprp2-3277	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	sprp2-4033	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	sprp4-3215031751	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	sprp-341550071728321	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	sprp-3825123056546413051	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	boundary32-prime	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	boundary32-composite	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	boundary32-above	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	boundary64-prime	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	boundary64-composite	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	proth-q-equals-n	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	proth-13	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	proth-49	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	proth-97	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	proth-gpu-prime	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	proth-gpu-composite	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	riesel-23	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	riesel-47	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	riesel-95	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	riesel-32	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	mersenne-3	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	mersenne-5	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	mersenne-7	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	mersenne-11	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	mersenne-13	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	gfn-3-4	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	gfn-4-4	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	gfn-6-4	PROVEN_PRIME	PROVEN_PRIME	PROVEN_PRIME	AGREE
1	gfn-10-4	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-01	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-02	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-03	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-04	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-05	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-06	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-07	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
1	random-08	COMPOSITE	COMPOSITE	COMPOSITE	AGREE
