component	classification	integration	redistributed	license_file	license_sha256	notice_file	source_id
PrimeForge original code	ORIGINAL	BUILT_IN	YES	LICENSE	04D223DDC28F864FF52ADF675D7C02B359AF9BD54F9CC074D4491185786F1A6F	NOTICE	PROJECT
actions/checkout	CI_ONLY	CI_SERVICE	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	CI-0001
Git	DEVELOPMENT_TOOL	DEVELOPMENT_TOOL	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	TOOL-0001
GitHub CLI	DEVELOPMENT_TOOL	DEVELOPMENT_TOOL	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	TOOL-0002
MSVC	DEVELOPMENT_TOOL	BUILD_TOOL	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	TOOL-0003
CMake	DEVELOPMENT_TOOL	BUILD_TOOL	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	TOOL-0004
Ninja	DEVELOPMENT_TOOL	BUILD_TOOL	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	TOOL-0005
Windows SDK	DEVELOPMENT_TOOL	BUILD_TOOL	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	TOOL-0006
primesieve	LINKED	LINK_CANDIDATE	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0001
GMP	LINKED	LINK_CANDIDATE	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0002
FLINT	LINKED	LINK_CANDIDATE	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0003
Prime95/gwnum	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0004
gpuowl PRPLL	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0005
Frey-PRPLL	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0006
Mlucas	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0007
OpenPFGW	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0008
Genefer22	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0009
PARI/GP	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0010
GMP-ECM	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0011
CGBN	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0012
PRST	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0013
LLR2	REJECTED	REJECTED	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0014
proth20	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0015
srsieve	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0016
NewPGen	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0017
sr2sieve	REFERENCE	REFERENCE_ONLY	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0018
mfaktc	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0019
mfakto	EXTERNAL	ADAPTER	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0020
PSieve-CUDA	REJECTED	REJECTED	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	DEP-0021
PrimeGrid	REFERENCE	EXTERNAL_SERVICE	NO	NOT_APPLICABLE	UNKNOWN	NOT_REQUIRED	SERVICE-0001
